Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,ED,,,,12,03/18/2020,03/24/2020,31954.0,Number of encounters
0,ED,,,,13,03/25/2020,03/31/2020,26035.0,Number of encounters
0,ED,,,,14,04/01/2020,04/07/2020,22084.0,Number of encounters
0,ED,,,,15,04/08/2020,04/14/2020,20728.0,Number of encounters
0,ED,,,,16,04/15/2020,04/21/2020,20946.0,Number of encounters
0,ED,,,,17,04/22/2020,04/28/2020,21575.0,Number of encounters
0,ED,,,,18,04/29/2020,05/05/2020,22976.0,Number of encounters
0,ED,,,,19,05/06/2020,05/12/2020,23253.0,Number of encounters
0,ED,,,,20,05/13/2020,05/19/2020,25374.0,Number of encounters
0,ED,,,,21,05/20/2020,05/26/2020,27329.0,Number of encounters
0,ED,,,,22,05/27/2020,06/02/2020,28033.0,Number of encounters
0,ED,,,,23,06/03/2020,06/09/2020,29436.0,Number of encounters
0,ED,,,,24,06/10/2020,06/16/2020,30359.0,Number of encounters
0,ED,,,,25,06/17/2020,06/23/2020,31549.0,Number of encounters
0,ED,,,,26,06/24/2020,06/30/2020,33437.0,Number of encounters
0,ED,,,,27,07/01/2020,07/07/2020,33787.0,Number of encounters
0,ED,,,,28,07/08/2020,07/14/2020,33643.0,Number of encounters
0,ED,,,,29,07/15/2020,07/21/2020,33747.0,Number of encounters
0,ED,,,,30,07/22/2020,07/28/2020,33457.0,Number of encounters
0,ED,,,,31,07/29/2020,08/04/2020,33106.0,Number of encounters
0,ED,,,,32,08/05/2020,08/11/2020,33758.0,Number of encounters
0,ED,,,,33,08/12/2020,08/18/2020,33913.0,Number of encounters
0,ED,,,,34,08/19/2020,08/25/2020,34010.0,Number of encounters
0,ED,,,,35,08/26/2020,09/01/2020,33737.0,Number of encounters
0,ED,,,,36,09/02/2020,09/08/2020,34434.0,Number of encounters
0,ED,,,,37,09/09/2020,09/15/2020,34092.0,Number of encounters
0,ED,,,,38,09/16/2020,09/22/2020,33561.0,Number of encounters
0,ED,,,,39,09/23/2020,09/29/2020,34597.0,Number of encounters
0,ED,,,,40,09/30/2020,10/06/2020,34950.0,Number of encounters
0,ED,,,,41,10/07/2020,10/13/2020,34790.0,Number of encounters
0,ED,,,,42,10/14/2020,10/20/2020,34343.0,Number of encounters
0,ED,,,,43,10/21/2020,10/27/2020,33537.0,Number of encounters
0,ED,,,,44,10/28/2020,11/03/2020,32513.0,Number of encounters
0,ED,,,,45,11/04/2020,11/10/2020,34537.0,Number of encounters
0,ED,,,,46,11/11/2020,11/17/2020,33647.0,Number of encounters
0,ED,,,,47,11/18/2020,11/24/2020,32832.0,Number of encounters
0,ED,,,,48,11/25/2020,12/01/2020,31627.0,Number of encounters
0,ED,,,,49,12/02/2020,12/08/2020,33483.0,Number of encounters
0,ED,,,,50,12/09/2020,12/15/2020,32320.0,Number of encounters
0,ED,,,,51,12/16/2020,12/22/2020,31089.0,Number of encounters
0,ED,,,,52,12/23/2020,12/29/2020,28533.0,Number of encounters
0,ED,,,,53,12/30/2020,01/05/2021,32971.0,Number of encounters
0,ED,,,,54,01/06/2021,01/12/2021,33880.0,Number of encounters
0,ED,,,,55,01/13/2021,01/19/2021,33857.0,Number of encounters
0,ED,,,,56,01/20/2021,01/26/2021,33611.0,Number of encounters
0,ED,,,,57,01/27/2021,02/02/2021,31905.0,Number of encounters
0,ED,,,,58,02/03/2021,02/09/2021,34481.0,Number of encounters
0,ED,,,,59,02/10/2021,02/16/2021,33716.0,Number of encounters
0,ED,,,,60,02/17/2021,02/23/2021,34167.0,Number of encounters
0,ED,,,,61,02/24/2021,03/02/2021,34989.0,Number of encounters
0,ED,,,,62,03/03/2021,03/09/2021,34963.0,Number of encounters
0,ED,,,,63,03/10/2021,03/16/2021,34914.0,Number of encounters
0,ED,,,,64,03/17/2021,03/23/2021,36851.0,Number of encounters
0,ED,,,,65,03/24/2021,03/30/2021,37455.0,Number of encounters
0,ED,,,,66,03/31/2021,04/06/2021,38028.0,Number of encounters
0,ED,,,,67,04/07/2021,04/13/2021,39598.0,Number of encounters
0,ED,,,,68,04/14/2021,04/20/2021,40017.0,Number of encounters
0,ED,,,,69,04/21/2021,04/27/2021,39460.0,Number of encounters
0,ED,,,,70,04/28/2021,05/04/2021,40859.0,Number of encounters
0,ED,,,,71,05/05/2021,05/11/2021,39548.0,Number of encounters
0,ED,,,,72,05/12/2021,05/18/2021,41243.0,Number of encounters
0,ED,,,,73,05/19/2021,05/25/2021,41591.0,Number of encounters
0,ED,,,,74,05/26/2021,06/01/2021,41602.0,Number of encounters
0,ED,,,,75,06/02/2021,06/08/2021,42828.0,Number of encounters
0,ED,,,,76,06/09/2021,06/15/2021,42826.0,Number of encounters
0,ED,,,,77,06/16/2021,06/22/2021,42599.0,Number of encounters
0,ED,,,,78,06/23/2021,06/29/2021,43005.0,Number of encounters
0,ED,,,,79,06/30/2021,07/06/2021,43710.0,Number of encounters
0,ED,,,,80,07/07/2021,07/13/2021,43551.0,Number of encounters
0,ED,,,,81,07/14/2021,07/20/2021,43457.0,Number of encounters
0,ED,,,,82,07/21/2021,07/27/2021,42850.0,Number of encounters
0,ED,,,,83,07/28/2021,08/03/2021,43240.0,Number of encounters
0,ED,,,,84,08/04/2021,08/10/2021,44066.0,Number of encounters
0,ED,,,,85,08/11/2021,08/17/2021,44083.0,Number of encounters
0,ED,,,,86,08/18/2021,08/24/2021,44061.0,Number of encounters
0,ED,,,,87,08/25/2021,08/31/2021,44467.0,Number of encounters
0,ED,,,,88,09/01/2021,09/07/2021,44075.0,Number of encounters
0,ED,,,,89,09/08/2021,09/14/2021,43971.0,Number of encounters
0,ED,,,,90,09/15/2021,09/21/2021,43347.0,Number of encounters
0,ED,,,,91,09/22/2021,09/28/2021,42942.0,Number of encounters
0,ED,,,,92,09/29/2021,10/05/2021,43469.0,Number of encounters
0,ED,,,,93,10/06/2021,10/12/2021,42640.0,Number of encounters
0,ED,,,,94,10/13/2021,10/19/2021,42246.0,Number of encounters
0,ED,,,,95,10/20/2021,10/26/2021,41059.0,Number of encounters
0,ED,,,,96,10/27/2021,11/02/2021,40352.0,Number of encounters
0,ED,,,,97,11/03/2021,11/09/2021,41097.0,Number of encounters
0,ED,,,,98,11/10/2021,11/16/2021,41377.0,Number of encounters
0,ED,,,,99,11/17/2021,11/23/2021,41559.0,Number of encounters
0,ED,,,,100,11/24/2021,11/30/2021,39703.0,Number of encounters
0,ED,,,,101,12/01/2021,12/07/2021,41581.0,Number of encounters
0,ED,,,,102,12/08/2021,12/14/2021,40482.0,Number of encounters
0,ED,,,,103,12/15/2021,12/21/2021,42744.0,Number of encounters
0,ED,,,,104,12/22/2021,12/28/2021,36536.0,Number of encounters
0,IP,,,,12,03/18/2020,03/24/2020,10522.0,Number of encounters
0,IP,,,,13,03/25/2020,03/31/2020,10393.0,Number of encounters
0,IP,,,,14,04/01/2020,04/07/2020,10249.0,Number of encounters
0,IP,,,,15,04/08/2020,04/14/2020,10078.0,Number of encounters
0,IP,,,,16,04/15/2020,04/21/2020,9968.0,Number of encounters
0,IP,,,,17,04/22/2020,04/28/2020,9922.0,Number of encounters
0,IP,,,,18,04/29/2020,05/05/2020,10598.0,Number of encounters
0,IP,,,,19,05/06/2020,05/12/2020,10688.0,Number of encounters
0,IP,,,,20,05/13/2020,05/19/2020,11246.0,Number of encounters
0,IP,,,,21,05/20/2020,05/26/2020,10826.0,Number of encounters
0,IP,,,,22,05/27/2020,06/02/2020,12090.0,Number of encounters
0,IP,,,,23,06/03/2020,06/09/2020,12180.0,Number of encounters
0,IP,,,,24,06/10/2020,06/16/2020,12427.0,Number of encounters
0,IP,,,,25,06/17/2020,06/23/2020,12585.0,Number of encounters
0,IP,,,,26,06/24/2020,06/30/2020,12639.0,Number of encounters
0,IP,,,,27,07/01/2020,07/07/2020,12384.0,Number of encounters
0,IP,,,,28,07/08/2020,07/14/2020,12810.0,Number of encounters
0,IP,,,,29,07/15/2020,07/21/2020,12797.0,Number of encounters
0,IP,,,,30,07/22/2020,07/28/2020,13018.0,Number of encounters
0,IP,,,,31,07/29/2020,08/04/2020,12605.0,Number of encounters
0,IP,,,,32,08/05/2020,08/11/2020,12867.0,Number of encounters
0,IP,,,,33,08/12/2020,08/18/2020,12823.0,Number of encounters
0,IP,,,,34,08/19/2020,08/25/2020,13115.0,Number of encounters
0,IP,,,,35,08/26/2020,09/01/2020,12892.0,Number of encounters
0,IP,,,,36,09/02/2020,09/08/2020,12176.0,Number of encounters
0,IP,,,,37,09/09/2020,09/15/2020,13238.0,Number of encounters
0,IP,,,,38,09/16/2020,09/22/2020,13063.0,Number of encounters
0,IP,,,,39,09/23/2020,09/29/2020,13293.0,Number of encounters
0,IP,,,,40,09/30/2020,10/06/2020,13065.0,Number of encounters
0,IP,,,,41,10/07/2020,10/13/2020,13359.0,Number of encounters
0,IP,,,,42,10/14/2020,10/20/2020,13100.0,Number of encounters
0,IP,,,,43,10/21/2020,10/27/2020,13252.0,Number of encounters
0,IP,,,,44,10/28/2020,11/03/2020,12886.0,Number of encounters
0,IP,,,,45,11/04/2020,11/10/2020,13311.0,Number of encounters
0,IP,,,,46,11/11/2020,11/17/2020,13071.0,Number of encounters
0,IP,,,,47,11/18/2020,11/24/2020,13178.0,Number of encounters
